factor,source,economic_family,research_usable,block_reason,authoritative_semantics,primary_family,economic_subfamily,mechanism,intended_role,data_horizon,definition,active,review_status,numeric_verification
alpha158_VSUMN20,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Sum(Greater(Ref($volume, 1)-$volume, 0), 20)/(Sum(Abs($volume-Ref($volume, 1)), 20)+1e-12)",True,inherited_requires_reconciliation,not_yet_verified
alpha158_VSUMN30,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Sum(Greater(Ref($volume, 1)-$volume, 0), 30)/(Sum(Abs($volume-Ref($volume, 1)), 30)+1e-12)",True,inherited_requires_reconciliation,not_yet_verified
alpha158_VSUMN5,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Sum(Greater(Ref($volume, 1)-$volume, 0), 5)/(Sum(Abs($volume-Ref($volume, 1)), 5)+1e-12)",False,inherited_requires_reconciliation,not_yet_verified
alpha158_VSUMN60,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Sum(Greater(Ref($volume, 1)-$volume, 0), 60)/(Sum(Abs($volume-Ref($volume, 1)), 60)+1e-12)",True,inherited_requires_reconciliation,not_yet_verified
alpha158_VSUMP10,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Sum(Greater($volume-Ref($volume, 1), 0), 10)/(Sum(Abs($volume-Ref($volume, 1)), 10)+1e-12)",False,inherited_requires_reconciliation,not_yet_verified
alpha158_VSUMP20,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Sum(Greater($volume-Ref($volume, 1), 0), 20)/(Sum(Abs($volume-Ref($volume, 1)), 20)+1e-12)",True,inherited_requires_reconciliation,not_yet_verified
alpha158_VSUMP30,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Sum(Greater($volume-Ref($volume, 1), 0), 30)/(Sum(Abs($volume-Ref($volume, 1)), 30)+1e-12)",True,inherited_requires_reconciliation,not_yet_verified
alpha158_VSUMP5,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Sum(Greater($volume-Ref($volume, 1), 0), 5)/(Sum(Abs($volume-Ref($volume, 1)), 5)+1e-12)",False,inherited_requires_reconciliation,not_yet_verified
alpha158_VSUMP60,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Sum(Greater($volume-Ref($volume, 1), 0), 60)/(Sum(Abs($volume-Ref($volume, 1)), 60)+1e-12)",True,inherited_requires_reconciliation,not_yet_verified
alpha158_VWAP0,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,Qlib Alpha158 expression: $vwap/$close,False,inherited_requires_reconciliation,not_yet_verified
alpha158_WVMA10,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Std(Abs($close/Ref($close, 1)-1)*$volume, 10)/(Mean(Abs($close/Ref($close, 1)-1)*$volume, 10)+1e-12)",False,inherited_requires_reconciliation,not_yet_verified
alpha158_WVMA20,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Std(Abs($close/Ref($close, 1)-1)*$volume, 20)/(Mean(Abs($close/Ref($close, 1)-1)*$volume, 20)+1e-12)",False,inherited_requires_reconciliation,not_yet_verified
alpha158_WVMA30,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Std(Abs($close/Ref($close, 1)-1)*$volume, 30)/(Mean(Abs($close/Ref($close, 1)-1)*$volume, 30)+1e-12)",False,inherited_requires_reconciliation,not_yet_verified
alpha158_WVMA5,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Std(Abs($close/Ref($close, 1)-1)*$volume, 5)/(Mean(Abs($close/Ref($close, 1)-1)*$volume, 5)+1e-12)",False,inherited_requires_reconciliation,not_yet_verified
alpha158_WVMA60,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Std(Abs($close/Ref($close, 1)-1)*$volume, 60)/(Mean(Abs($close/Ref($close, 1)-1)*$volume, 60)+1e-12)",False,inherited_requires_reconciliation,not_yet_verified
alpha360_CLOSE1,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 1)/$close Alpha360 batch V4 passed.",False,formula_reconciled,not_yet_verified
alpha360_CLOSE10,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($close, 10)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE11,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 11)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE12,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 12)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE13,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 13)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE14,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 14)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE15,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($close, 15)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE16,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 16)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE17,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 17)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE18,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 18)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE19,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 19)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE2,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 2)/$close Alpha360 batch V4 passed.",False,formula_reconciled,not_yet_verified
alpha360_CLOSE20,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($close, 20)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE21,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($close, 21)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE22,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 22)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE23,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 23)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE24,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 24)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE25,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($close, 25)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE26,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 26)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE27,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 27)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE28,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 28)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE29,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 29)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE3,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 3)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE30,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 30)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE31,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 31)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE32,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 32)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE33,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 33)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE34,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 34)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE35,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($close, 35)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE36,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 36)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE37,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 37)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE38,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 38)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE39,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 39)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE4,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 4)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE40,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 40)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE41,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 41)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE42,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 42)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE43,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 43)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE44,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 44)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE45,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($close, 45)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE46,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 46)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE47,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 47)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE48,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 48)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE49,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 49)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE5,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($close, 5)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE50,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($close, 50)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE51,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($close, 51)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE52,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($close, 52)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE53,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($close, 53)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE54,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($close, 54)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE55,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($close, 55)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE56,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($close, 56)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE57,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($close, 57)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE58,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($close, 58)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE59,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($close, 59)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE6,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 6)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE7,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 7)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE8,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 8)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_CLOSE9,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,LaggedPriceRatio,historical_to_current_close_ratio,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($close, 9)/$close Alpha360 batch V4 passed.",True,formula_reconciled,not_yet_verified
alpha360_HIGH0,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,price_range_pattern,formula_based_price_or_volume_pattern,exploratory_candidate,daily_medium_to_long,Qlib Alpha360 expression: $high/$close Alpha360 batch V4 passed.,False,inherited_requires_reconciliation,not_yet_verified
alpha360_HIGH1,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,price_range_pattern,formula_based_price_or_volume_pattern,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($high, 1)/$close Alpha360 batch V4 passed.",False,inherited_requires_reconciliation,not_yet_verified
alpha360_HIGH10,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,price_range_pattern,formula_based_price_or_volume_pattern,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($high, 10)/$close Alpha360 batch V4 passed.",True,inherited_requires_reconciliation,not_yet_verified
alpha360_HIGH11,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,price_range_pattern,formula_based_price_or_volume_pattern,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($high, 11)/$close Alpha360 batch V4 passed.",True,inherited_requires_reconciliation,not_yet_verified
alpha360_HIGH12,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,price_range_pattern,formula_based_price_or_volume_pattern,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($high, 12)/$close Alpha360 batch V4 passed.",True,inherited_requires_reconciliation,not_yet_verified
alpha360_HIGH13,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,price_range_pattern,formula_based_price_or_volume_pattern,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($high, 13)/$close Alpha360 batch V4 passed.",True,inherited_requires_reconciliation,not_yet_verified
alpha360_HIGH14,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,price_range_pattern,formula_based_price_or_volume_pattern,exploratory_candidate,daily_medium_to_long,"Qlib Alpha360 expression: Ref($high, 14)/$close Alpha360 batch V4 passed.",True,inherited_requires_reconciliation,not_yet_verified
alpha360_HIGH15,alpha360,PriceTrend,True,,factor_universe_v2_lineage_accepted_semantics,TechnicalPriceVolume,price_range_pattern,formula_based_price_or_volume_pattern,exploratory_candidate,daily_short_to_medium,"Qlib Alpha360 expression: Ref($high, 15)/$close Alpha360 batch V4 passed.",True,inherited_requires_reconciliation,not_yet_verified
