factor,decision,reason,alphalens_status,jqfactor_status,qlib_status
alpha360_VWAP45,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP46,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP47,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP48,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP49,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP5,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP50,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP51,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP52,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP53,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP54,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP55,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP56,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP57,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP58,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP59,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP6,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP7,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP8,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP9,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
