factor,proposal_role_0_7,proposed_representative_0_7,representation_sign_0_7,reason_0_7,all_views_comparable_peers_0_7,unknown_pair_count_0_7,proposal_role_0_85,proposed_representative_0_85,representation_sign_0_85,reason_0_85,all_views_comparable_peers_0_85,unknown_pair_count_0_85,proposal_role_0_95,proposed_representative_0_95,representation_sign_0_95,reason_0_95,all_views_comparable_peers_0_95,unknown_pair_count_0_95,proposal_role_0_995,proposed_representative_0_995,representation_sign_0_995,reason_0_995,all_views_comparable_peers_0_995,unknown_pair_count_0_995,mechanism,horizon,formula_units,replacement_hold_reason,canonical_representation_proposal,registration_status,user_decision,replacement_authority
alpha360_CLOSE11,retain_semantic_or_horizon_variant,alpha360_CLOSE11,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE11,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE11,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_CLOSE11,1.0,Singleton is not evidence of independence,480,13,historical_close_to_current_close_ratio,lag_11,ratio,,,,pending,none_proposal_only
alpha360_CLOSE12,retain_semantic_or_horizon_variant,alpha360_CLOSE12,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE12,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE12,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE12,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_12,ratio,,,,pending,none_proposal_only
alpha360_CLOSE13,retain_semantic_or_horizon_variant,alpha360_CLOSE13,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE13,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE13,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_CLOSE13,1.0,Singleton is not evidence of independence,480,13,historical_close_to_current_close_ratio,lag_13,ratio,,,,pending,none_proposal_only
alpha360_CLOSE14,retain_semantic_or_horizon_variant,alpha360_CLOSE14,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE14,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE14,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_CLOSE14,1.0,Singleton is not evidence of independence,480,13,historical_close_to_current_close_ratio,lag_14,ratio,,,,pending,none_proposal_only
alpha360_CLOSE15,retain_semantic_or_horizon_variant,alpha360_CLOSE15,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE15,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE15,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_CLOSE15,1.0,Singleton is not evidence of independence,480,13,historical_close_to_current_close_ratio,lag_15,ratio,,,,pending,none_proposal_only
alpha360_CLOSE16,retain_semantic_or_horizon_variant,alpha360_CLOSE16,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE16,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE16,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_CLOSE16,1.0,Singleton is not evidence of independence,480,13,historical_close_to_current_close_ratio,lag_16,ratio,,,,pending,none_proposal_only
alpha360_CLOSE17,retain_semantic_or_horizon_variant,alpha360_CLOSE17,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE17,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE17,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_CLOSE17,1.0,Singleton is not evidence of independence,480,13,historical_close_to_current_close_ratio,lag_17,ratio,,,,pending,none_proposal_only
alpha360_CLOSE18,retain_semantic_or_horizon_variant,alpha360_CLOSE18,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE18,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE18,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_CLOSE18,1.0,Singleton is not evidence of independence,480,13,historical_close_to_current_close_ratio,lag_18,ratio,,,,pending,none_proposal_only
alpha360_CLOSE19,retain_semantic_or_horizon_variant,alpha360_CLOSE19,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE19,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE19,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_CLOSE19,1.0,Singleton is not evidence of independence,480,13,historical_close_to_current_close_ratio,lag_19,ratio,,,,pending,none_proposal_only
alpha360_CLOSE20,retain_semantic_or_horizon_variant,alpha360_CLOSE20,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE20,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE20,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE20,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_20,ratio,,alpha158_ROC20,registered_development_sample_equality_identity_preserved,pending,none_proposal_only
alpha360_CLOSE21,retain_semantic_or_horizon_variant,alpha360_CLOSE21,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE21,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE21,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE21,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_21,ratio,,,,pending,none_proposal_only
alpha360_CLOSE22,retain_semantic_or_horizon_variant,alpha360_CLOSE22,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE22,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE22,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_CLOSE22,1.0,Singleton is not evidence of independence,480,13,historical_close_to_current_close_ratio,lag_22,ratio,,,,pending,none_proposal_only
alpha360_CLOSE23,retain_semantic_or_horizon_variant,alpha360_CLOSE23,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE23,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE23,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_CLOSE23,1.0,Singleton is not evidence of independence,480,13,historical_close_to_current_close_ratio,lag_23,ratio,,,,pending,none_proposal_only
alpha360_CLOSE24,retain_semantic_or_horizon_variant,alpha360_CLOSE24,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE24,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE24,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE24,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_24,ratio,,,,pending,none_proposal_only
alpha360_CLOSE25,retain_semantic_or_horizon_variant,alpha360_CLOSE25,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE25,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE25,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE25,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_25,ratio,,,,pending,none_proposal_only
alpha360_CLOSE26,retain_semantic_or_horizon_variant,alpha360_CLOSE26,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE26,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE26,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE26,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_26,ratio,,,,pending,none_proposal_only
alpha360_CLOSE27,retain_semantic_or_horizon_variant,alpha360_CLOSE27,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE27,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE27,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE27,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_27,ratio,,,,pending,none_proposal_only
alpha360_CLOSE28,retain_semantic_or_horizon_variant,alpha360_CLOSE28,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE28,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE28,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE28,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_28,ratio,,,,pending,none_proposal_only
alpha360_CLOSE29,retain_semantic_or_horizon_variant,alpha360_CLOSE29,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE29,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE29,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE29,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_29,ratio,,,,pending,none_proposal_only
alpha360_CLOSE3,retain_semantic_or_horizon_variant,alpha360_CLOSE3,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE3,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE3,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_CLOSE3,1.0,Singleton is not evidence of independence,480,13,historical_close_to_current_close_ratio,lag_3,ratio,,,,pending,none_proposal_only
alpha360_CLOSE30,retain_semantic_or_horizon_variant,alpha360_CLOSE30,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE30,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE30,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE30,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_30,ratio,,alpha158_ROC30,registered_development_sample_equality_identity_preserved,pending,none_proposal_only
alpha360_CLOSE31,retain_semantic_or_horizon_variant,alpha360_CLOSE31,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE31,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE31,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE31,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_31,ratio,,,,pending,none_proposal_only
alpha360_CLOSE32,retain_semantic_or_horizon_variant,alpha360_CLOSE32,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE32,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE32,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE32,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_32,ratio,,,,pending,none_proposal_only
alpha360_CLOSE33,retain_semantic_or_horizon_variant,alpha360_CLOSE33,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE33,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE33,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE33,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_33,ratio,,,,pending,none_proposal_only
alpha360_CLOSE34,retain_semantic_or_horizon_variant,alpha360_CLOSE34,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE34,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE34,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE34,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_34,ratio,,,,pending,none_proposal_only
alpha360_CLOSE35,retain_semantic_or_horizon_variant,alpha360_CLOSE35,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE35,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE35,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE35,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_35,ratio,,,,pending,none_proposal_only
alpha360_CLOSE36,retain_semantic_or_horizon_variant,alpha360_CLOSE36,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE36,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE36,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE36,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_36,ratio,,,,pending,none_proposal_only
alpha360_CLOSE37,retain_semantic_or_horizon_variant,alpha360_CLOSE37,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE37,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE37,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE37,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_37,ratio,,,,pending,none_proposal_only
alpha360_CLOSE38,retain_semantic_or_horizon_variant,alpha360_CLOSE38,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE38,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE38,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE38,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_38,ratio,,,,pending,none_proposal_only
alpha360_CLOSE39,retain_semantic_or_horizon_variant,alpha360_CLOSE39,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE39,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE39,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE39,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_39,ratio,,,,pending,none_proposal_only
alpha360_CLOSE4,retain_semantic_or_horizon_variant,alpha360_CLOSE4,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE4,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE4,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha360_CLOSE4,1.0,Singleton is not evidence of independence,480,13,historical_close_to_current_close_ratio,lag_4,ratio,,,,pending,none_proposal_only
alpha360_CLOSE40,retain_semantic_or_horizon_variant,alpha360_CLOSE40,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE40,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE40,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE40,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_40,ratio,,,,pending,none_proposal_only
alpha360_CLOSE41,retain_semantic_or_horizon_variant,alpha360_CLOSE41,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE41,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE41,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE41,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_41,ratio,,,,pending,none_proposal_only
alpha360_CLOSE42,retain_semantic_or_horizon_variant,alpha360_CLOSE42,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE42,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE42,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE42,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_42,ratio,,,,pending,none_proposal_only
alpha360_CLOSE43,retain_semantic_or_horizon_variant,alpha360_CLOSE43,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE43,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE43,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE43,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_43,ratio,,,,pending,none_proposal_only
alpha360_CLOSE44,retain_semantic_or_horizon_variant,alpha360_CLOSE44,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE44,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE44,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE44,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_44,ratio,,,,pending,none_proposal_only
alpha360_CLOSE45,retain_semantic_or_horizon_variant,alpha360_CLOSE45,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE45,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE45,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE45,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_45,ratio,,,,pending,none_proposal_only
alpha360_CLOSE46,retain_semantic_or_horizon_variant,alpha360_CLOSE46,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE46,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE46,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE46,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_46,ratio,,,,pending,none_proposal_only
alpha360_CLOSE47,retain_semantic_or_horizon_variant,alpha360_CLOSE47,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE47,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE47,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE47,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_47,ratio,,,,pending,none_proposal_only
alpha360_CLOSE48,retain_semantic_or_horizon_variant,alpha360_CLOSE48,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE48,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE48,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE48,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_48,ratio,,,,pending,none_proposal_only
alpha360_CLOSE49,retain_semantic_or_horizon_variant,alpha360_CLOSE49,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE49,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE49,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE49,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_49,ratio,,,,pending,none_proposal_only
alpha360_CLOSE5,retain_semantic_or_horizon_variant,alpha360_CLOSE5,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE5,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE5,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE5,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_5,ratio,,alpha158_ROC5,registered_development_sample_equality_identity_preserved,pending,none_proposal_only
alpha360_CLOSE50,retain_semantic_or_horizon_variant,alpha360_CLOSE50,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE50,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE50,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE50,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_50,ratio,,,,pending,none_proposal_only
alpha360_CLOSE51,retain_semantic_or_horizon_variant,alpha360_CLOSE51,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE51,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE51,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE51,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_51,ratio,,,,pending,none_proposal_only
alpha360_CLOSE52,retain_semantic_or_horizon_variant,alpha360_CLOSE52,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE52,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE52,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE52,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_52,ratio,,,,pending,none_proposal_only
alpha360_CLOSE53,retain_semantic_or_horizon_variant,alpha360_CLOSE53,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE53,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE53,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE53,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_53,ratio,,,,pending,none_proposal_only
alpha360_CLOSE54,retain_semantic_or_horizon_variant,alpha360_CLOSE54,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE54,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE54,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE54,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_54,ratio,,,,pending,none_proposal_only
alpha360_CLOSE55,retain_semantic_or_horizon_variant,alpha360_CLOSE55,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE55,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE55,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE55,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_55,ratio,,,,pending,none_proposal_only
alpha360_CLOSE56,retain_semantic_or_horizon_variant,alpha360_CLOSE56,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE56,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE56,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha360_CLOSE56,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,historical_close_to_current_close_ratio,lag_56,ratio,,,,pending,none_proposal_only
